Month,Day,Fajr hrs,Fajr mins,Sunrise hrs,Sunrise mins,Zawal hrs,Zawal mins,Dhuhr hrs,Dhuhr mins,Asr hrs,Asr mins,Maghrib hrs,Maghrib mins,Isha hrs,Isha mins
1,1,5,48,7,11,11,39,12,23,15,56,17,36,18,57
1,2,5,48,7,11,11,39,12,24,15,57,17,37,18,58
1,3,5,48,7,11,11,40,12,24,15,58,17,37,18,59
1,4,5,49,7,11,11,40,12,24,15,59,17,38,19,0
1,5,5,49,7,11,11,40,12,25,16,0,17,39,19,0
1,6,5,49,7,11,11,41,12,25,16,1,17,40,19,1
1,7,5,50,7,12,11,41,12,25,16,2,17,40,19,2
1,8,5,50,7,12,11,42,12,26,16,2,17,41,19,3
1,9,5,50,7,12,11,42,12,26,16,3,17,42,19,3
1,10,5,50,7,12,11,43,12,26,16,4,17,42,19,4
1,11,5,50,7,12,11,43,12,27,16,5,17,43,19,4
1,12,5,50,7,12,11,44,12,27,16,5,17,43,19,5
1,13,5,50,7,12,11,44,12,27,16,6,17,45,19,6
1,14,5,51,7,12,11,44,12,28,16,7,17,46,19,7
1,15,5,51,7,12,11,45,12,28,16,8,17,47,19,7
1,16,5,51,7,12,11,45,12,28,16,9,17,47,19,8
1,17,5,51,7,11,11,46,12,29,16,9,17,48,19,9
1,18,5,51,7,11,11,46,12,29,16,10,17,49,19,10
1,19,5,51,7,11,11,46,12,29,16,11,17,50,19,10
1,20,5,50,7,11,11,47,12,30,16,12,17,51,19,11
1,21,5,50,7,10,11,47,12,30,16,13,17,52,19,12
1,22,5,50,7,10,11,48,12,30,16,14,17,53,19,12
1,23,5,50,7,10,11,48,12,31,16,15,17,53,19,13
1,24,5,50,7,10,11,48,12,31,16,15,17,54,19,13
1,25,5,50,7,9,11,48,12,31,16,16,17,55,19,14
1,26,5,49,7,9,11,49,12,32,16,17,17,56,19,15
1,27,5,49,7,9,11,49,12,32,16,18,17,57,19,15
1,28,5,49,7,8,11,49,12,32,16,18,17,57,19,16
1,29,5,48,7,8,11,50,12,32,16,19,17,58,19,17
1,30,5,48,7,7,11,50,12,33,16,20,17,59,19,17
1,31,5,47,7,7,11,50,12,33,16,20,18,0,19,18
2,1,5,47,7,6,11,50,12,33,16,21,18,1,19,19
2,2,5,47,7,6,11,50,12,33,16,22,18,2,19,19
2,3,5,46,7,5,11,51,12,33,16,23,18,2,19,20
